subj,auc_max,auc_max_t,epo_type
s01,0.6617312834224599,2.744,main
s02,0.6709603777715233,3.13,main
s03,0.6667747241086588,3.568,main
s04,0.6393772893772894,0.938,main
s05,0.6907664884135472,1.138,main
s07,0.6360641025641026,1.17,main
s08,0.6669786096256685,3.52,main
s09,0.7357637362637363,1.32,main
s10,0.65952,2.758,main
s11,0.6536814449917898,2.99,main
s12,0.6828011953444479,1.934,main
s13,0.6466467631984874,1.062,main
s14,0.6638521437283048,0.98,main
s15,0.668392212725546,3.064,main
s16,0.6354150197628459,0.684,main
s17,0.6657522175536881,1.964,main
s18,0.6552754103535354,0.06,main
s19,0.648157894736842,3.266,main
s20,0.6688904527328173,2.694,main
s21,0.6978135611205433,2.516,main
s22,0.6367935139573071,0.71,main
s23,0.6377031397721054,3.698,main
s24,0.6875028801843317,0.32,main
s25,0.713690712771595,3.814,main
s26,0.649222522117259,3.132,main
s27,0.6501153402537485,0.55,main
