subj,auc_max,auc_max_t,epo_type
s01,0.6580563446969696,-1.418,mainresp
s03,0.6414433811802233,-1.428,mainresp
s04,0.6601574753748667,-0.06,mainresp
s05,0.6640869633838383,-1.216,mainresp
s07,0.6336666666666666,-0.178,mainresp
s08,0.6481840463458111,-0.23,mainresp
s09,0.7074358974358974,-0.028,mainresp
s10,0.628365110672803,-0.364,mainresp
s11,0.6496825396825396,0.11,mainresp
s12,0.6677672735760971,0.122,mainresp
s13,0.6457083146738319,-0.57,mainresp
s14,0.6695343528160866,-0.852,mainresp
s15,0.6412991452991453,-0.804,mainresp
s16,0.6389991181657848,-0.68,mainresp
s17,0.6477217553688142,0.598,mainresp
s18,0.6495641973366887,0.344,mainresp
s19,0.6692798046251994,-0.468,mainresp
s20,0.6665775275627492,0.198,mainresp
s21,0.627612639553429,0.34,mainresp
s22,0.652175697865353,-0.346,mainresp
s23,0.646429512516469,-1.17,mainresp
s24,0.6367757936507937,-1.366,mainresp
s25,0.646362170994524,-1.018,mainresp
s26,0.6381656110720149,-0.378,mainresp
s27,0.6370401493930906,-0.564,mainresp
